board_name,board_id,name,position,city,term_end,add_info
Aeronautics Commission of South Dakota,BoardID=5,Robert Huggins,Chairman/ Pilot,Sioux Falls,10/30/2026,"Biography:
Appointed 2017.
Robert ""Bob"" Huggins was born in Rapid City. He graduated from the University of North Dakota in 1979 with a degree in Aviation Management. At UND, he earned his Private Pilot License. Bob's been a controller in Fargo, Rapid City, Huron and Sioux Falls Regional Airport. He was a controller at FSD in the 80s, and returned as a supervisor in March 2005 and was named the Air Traffic Manager (ATM) in November of 2005. While ATM, some of the highlights included helping Raven establish their facility north of FSD Airport, helping develop instrument procedures for Avera/McKennon and Sanford Hospitals Helipads, and overseeing the development of procedures for allowing drone operations at airports along with the map program that is used by drone operators. FSD procedures were so ground breaking that he went to FAA Headquarters in Washington, DC to assist in developing procedures for controllers and pilots. After 35+ years, he retired."
Aeronautics Commission of South Dakota,BoardID=5,Rolf Johnson,Vice-chairman / Pilot,Mina,10/30/2027,"Biography:
Appointed 2018.
Rolf Johnson was born and raised in Aberdeen, SD. He graduated from Aberdeen Central High School. He has two associate degrees, automotive technology and automotive marketing, as well as bachelor’s degrees in management and marketing from Northwood University in Midland, MI. In the early 80's, Rolf obtained his private pilot license that allowed him to either piloted or co-piloted trips for family business purposes. Since 2000, he has held various board seats on the Aberdeen Airport Advisory Board where he is currently Vice Chair. In 2010, Rolf co-founded the Brown County Flying Club. In the three years to follow, he recruited 10 new pilots to join the club. Rolf has piloted at least a dozen aircraft and has flown to most of South Dakota’s airports along with 100 plus airports nationwide. Rolf lives with his wife Valerie at Mina Lake, 12 miles west of Aberdeen. He has three grown children. His hobbies outside of flying include running, cars, and motorcycles."
Aeronautics Commission of South Dakota,BoardID=5,Ivan Venner,Pilot,Hot Springs,10/30/2028,"Biography:
Appointed 2025. 
Ivan Venner was born in Hoven, South Dakota and grew up on a ranch 20 miles northwest of Pierre. A graduate of Riggs High School, he enlisted in the United States Navy in 1974 and was honorably discharged in 1980. He attended Lake Area Vo Tech Airframe & Power Plant School in Watertown. Ivan began his flying career with Ice Flying Service which included Capital City Air in Pierre, WestJet in Rapid City, Continental Express based in Denver, CO and Houston, TX. After flying 12 years for CSA Air, a FedEx Regional Airline, he served as Chief Pilot and retired as Director of Operations and General Manager for the company. Over the years, Ivan acquired more than 14,000 commercial flight hours and operated over 25 different aircraft. He currently resides with his wife at SD27 Black Hills Flyway, where he enjoys flying his Aviat Husky, scuba diving and manages the Hot Springs airport."
America 250th South Dakota Commission,BoardID=11769,Peggy Besch,,Huron,3/31/2027,"Biography:
Peggy Besch serves as the State Fair Division Direction for the South Dakota Department of Agriculture and Natural Resources, a position she has held for the past eight years. Prior to that, she spent 23 years with the Huron Chamber and Visitors Bureau and served the last 14 years as their President and CEO. 

She is a Past President and founding member of the SD Convention & Visitors Bureau and Past President of the SD Chamber & Economic Development Council. She also served on the Board of Directors for the South Dakota Visitor Industry Alliance, Glacial Lakes and Prairies Regional Tourism Association, Laura Ingalls Wilder Memorial Society and Mid-America Chamber Executives. She currently serves on the Board of Directors for both Greater Huron Development Corporation and the Jan Manolis Family Safe Center and is a member of the Huron Kiwanis Club. Peggy lives in Huron, SD. 
"
America 250th South Dakota Commission,BoardID=11769,Julie Breu,,,3/31/2027,"Biography:
Julie Breu is the director of the Lake County Museum, formerly the Smith Zimmermann Museum, in Madison, South Dakota. She holds a Bachelor of Arts in History with a minor in Art History and has completed a Master’s degree from Eastern Illinois University in Historical Administration. She has worked in several southeast South Dakota museums for over twenty years. 

During her past year as director of the Lake County Museum the board and she has worked to rebrand and renew the image of the museum. Julie now lives in Wentworth, SD with her husband Kent and two children Mitchell and Ainsley."
America 250th South Dakota Commission,BoardID=11769,Caleb Finck,,,3/31/2027,"Biography:
Caleb Finck is a 6th Generation Farmer and Rancher from Tripp, South Dakota with his Wife, Toni, Mother, Father, Sister, and Grandparents. Finck volunteers on the Tripp Economic Development Corporation Board as President, the Tripp Area Community Foundation and Tripp Action Group. Caleb also serves on the board of Directors for the Economic Development Professionals Association of South Dakota, Dakota Resources, and Rushmore Music Camp. Caleb graduated from SDSU with a bachelor’s degree in Agricultural Leadership after serving two terms as Student Body President. Finck served 2 terms in the South Dakota House of Representatives from 2018-2022. Currently, Caleb works for the South Dakota Office of School and Public Lands as the Analytics Architect and GIS General Manager."
America 250th South Dakota Commission,BoardID=11769,Catherine K. Forsch,,Sioux Falls/Pierre,3/31/2027,"Biography:
Catherine Forsch is the CEO of the South Dakota Historical Society Foundation. She has been a member of the staff since 2016 and is the chief/lead strategic creator of ideas for fundraising and programs to carry out the mission of the organization of “Helping to Keep South Dakota History Alive.” 

In the nonprofit world, Forsch served as Enterprise Director of Donor Relations for Sanford Health Foundation, Executive Director for South Dakota Lions Foundation, and Director of Development and Marketing at EmBe/YWCA. She is past president of the South Dakota Association for Fundraising Professionals and served many years as a cabinet member for the Sioux Empire United Way. Forsch has a B.A. degree in Journalism and Mass Communications from South Dakota State University. She has 20 years of marketing experience, twelve of those years with the Argus Leader in Sioux Falls. Catherine and her family are also seasonal concessionaires of The Boat House Bar & Grill at Spring Creek in Pierre"
America 250th South Dakota Commission,BoardID=11769,David Grabitske,,Pierre,3/31/2027,"Biography:
A native of Minnesota, David grew up during the National Bicentennial in Maryland. His degrees are a bachelor’s in history (Minnesota State University--Mankato), master of public and nonprofit administration (Metropolitan State), and doctor of business administration (Metropolitan State) in finance of state history organizations, of which South Dakota State Historical Society is the third he’s served in over 30 years. He’s served on previous boards and commissions like the Minnesota State Historic Records Advisory Board, Minnesota Department of Transportation Sign Variance Board, and the Medina County (Texas) Historical Commission. He has also served national boards of American Association for State and Local History and Field Services Alliance. David is the author of numerous books and articles including Six Miles from St. Paul, currently the only book biography of a Minnesota First Lady, and co-author of Building Museums: a handbook for small and midsize organizations. He holds dual roles of Assistant Director and Museum Director of the South Dakota State Historical Society where he has crisscrossed the state to work with community history organizations and local history projects. He resides in Pierre with his wife and children."
America 250th South Dakota Commission,BoardID=11769,Kurt Hackemer,,Vermillion,3/31/2027,"Biography:
Kurt Hackemer is Professor of History and Provost and Vice President for Academic Affairs at the University of South Dakota in Vermillion, where he has been on the faculty since 1996. He teaches a wide range of American and non-American military history courses, and has published on both naval and military topics over the years. His most recent research focuses on the experience of Civil War veterans who moved to the Northern Great Plains after the war."
America 250th South Dakota Commission,BoardID=11769,James Hagen,,,3/31/2027,"Biography:
Jim has served as South Dakota’s Secretary of Tourism since 2011. Before becoming the Secretary of Tourism, Jim served four and a half years as the National Fundraising Campaign Director and Public Relations Director for the Crazy Horse Memorial Foundation. From 2004-2006, he served as South Dakota’s Secretary of Tourism and State Development. From 1995-2002, he served as Chief of Staff and Special Advisor to Governor Bill Janklow.
In March 2014, Jim was appointed to the 32-member National Travel and Tourism Advisory Board (TTAB) by U.S. Secretary of Commerce Penny Pritzker and again reappointed for a two-term in March 2016. He also serves on the Executive Board of the U.S. Travel Association and chairs the Membership Governance Committee. In January 2017, he was elected Chairman of the National Council of State Tourism Directors.
Jim grew up in the northeast region of The Mount Rushmore State. He is a graduate of Aberdeen Central High School and the University of Southern California"
America 250th South Dakota Commission,BoardID=11769,Nick Harrington,,Pierre,3/31/2027,"Biography:
Nick is the Communications Manager for the South Dakota Game, Fish and Parks (GFP) in Pierre. Nick is originally from Gretna, Nebraska and attended South Dakota State University, where he obtained a bachelor’s degree in Wildlife and Fisheries Sciences. Nick moved to Pierre in September 2018, and has been working with GFP since then. Nick is a graduate of Cohort 15 of the Governor’s Leadership Development Program. His family continues to reside in Nebraska, including his three adopted siblings: Erin, Aiden, and Malachi."
America 250th South Dakota Commission,BoardID=11769,Benjamin Jones,Chair,Pierre,3/31/2027,"Biography:
Jones was born in Sioux Falls and graduated from DeSmet High School in South Dakota. He earned a BA in history from South Dakota State University, an MA from the University of Nebraska-Lincoln, and a PhD from the University of Kansas. He served 23 years in the United States Air Force, where he attained the rank of lieutenant colonel and was stationed in several locations in the United States, the Pacific, Europe, and Afghanistan. He was a member of the History faculty at the Air Force Academy. Jones was dean of the College of Arts and Sciences at Dakota State University from 2013 to 2019 until Governor Noem appointed him Secretary of Education. Jones led the development of the department's 2019 strategic plan, which prioritized closing the opportunity gap for students in poverty and improving academic performance. Jones is now the State Historian and 9th Director of the South Dakota State Historical Society. He is married to Suzy and they have three children, Hannah, Elaina, and Henry"
America 250th South Dakota Commission,BoardID=11769,Douglas Knust,,Chamberlain,3/31/2027,"Biography:
Doug Knust is a small businessman with NAPA Auto Parts stores in Gregory, Winner and Mission, SD as well as a management company and a real estate company. Knust was a franchised automobile dealer for over 30 years.
He served on the National Automobile Dealers Association board of directors for over 11 years and the South Dakota Automobile Dealers Association for over 15 years. He currently serves on the board of St. Joseph’s Indian School in Chamberlain and the Boys & Girls Club of Rosebud.
Knust has mentored middle school young men for over 20 years, taught religious education for over 35 years and is the author of two books.
Knust holds a B.S.B.A. degree from Creighton University. He and his wife, Judy, live in Chamberlain and have three grown children, two granddaughters and two grandsons. He loves to hunt, golf, sail and bicycle and is a life-long college basketball fan.
"
America 250th South Dakota Commission,BoardID=11769,Marshall Michels,,,3/31/2027,"Biography:
Marshall served in the Army and South Dakota Army National Guard for almost 38 years. 
He has held numerous leadership positions within the South Dakota National Guard, culminating as Director of the Joint Staff where he was responsible for planning, coordinating, and executing South Dakota National Guard Response to state emergencies such as the COVID-19 pandemic response. 
Marshall retired from the military in 2020 at the rank of Brigadier General.
Marshall joined the Department of the Military in 2021, serving as the Assistant Deputy Secretary. 
"
America 250th South Dakota Commission,BoardID=11769,Shane Penfield,,Lemmon,3/31/2027,"Biography:
Shane Penfield grew up on a ranch located ten miles south of Thunder Hawk, South Dakota. He graduated from Lemmon High School in 1994 and began attending the University of South Dakota the next fall. Shane received a Bachelor’s Degree in Political Science, Masters of Public Administration and Juris Doctorate all from USD. In 2004, Shane began practicing law at the Rapid City law firm of Gunderson, Palmer, Goodsell and Nelson, LLP. In 2007, Shane and his wife Kelli moved to Lemmon, to start a law practice where they continue to live with their four children. Mr. Penfield currently serves as the State’s Attorney of Perkins, Ziebach, Corson and Dewey Counties. He is also the City Attorney for Lemmon, McIntosh, Bison, Faith, McLaughlin, Timber Lake and Dupree. In addition to these positions, Shane is engaged in his private law practice, a member of the Lemmon Fire Department and operates a ranch south of Lemmon on land that has been in his family for four generations."
America 250th South Dakota Commission,BoardID=11769,Tim Reed,Senator,Brookings,3/31/2027,"Biography:
Tim Reed, a Brookings, SD native is currently serving as District 7’s Senator to the South Dakota Legislature. Before his election to the Legislature seven years ago, he served in Brookings City Government for 13 years, 8 years as Mayor. Reed is also serving as the CEO of the Brookings Economic Development Corporation."
America 250th South Dakota Commission,BoardID=11769,Jeremiah Schneider,,,3/31/2027,"Biography:
Jeremiah Schneider serves as the Secretary of Veterans Affairs. He was born and raised in Wentworth, South Dakota and joined the Navy in May 1995. He served on active duty until May 2000.

In 2011, he joined the Naval Reserves where he deployed on multiple tours to Afghanistan. In 2020, he was selected as Senior Enlisted Leader for the 1st Civil Affairs Group MARFORRES, Camp Pendleton where he served for over three years. In June 2023, he was selected as the Southern Regional Senior Enlisted Leader for NMRTC Portsmouth.

Master Chief Schneider most recently served as the Deputy Senior Enlisted Leader for Expeditionary Medical Facility Camp Pendleton and the CEO of Bethel Lutheran Home.

His personnel awards include the Navy Achievement Medal, Navy and Marine Commendation Medal, Army Achievement Medal, the Joint Service Commendation Medal, and the Combat Action Ribbon. Senior Chief Schneider is Seabee Combat Warfare qualified.

Senior Chief Schneider is married with four childre"
America 250th South Dakota Commission,BoardID=11769,George Seamon,,Pierre,3/31/2027,"Biography:
George Seamon currently serves as State Librarian for the South Dakota State Library. Prior to his current position, he served as Director/Consultant of Northwest Kansas Library System for 14 years as well as interlibrary loan and circulation clerk at Pennsylvania Western University Clarion (formerly Clarion University of Pennsylvania) for a year. 

He has an undergraduate degree in history from Kent State University and a Master of Science in Library Science from Pennsylvania Western University Clarion. George has extensive experience working with and participating on various types of boards, non-profit and governmental administration, and event planning/programming. 

George is originally for Ohio and currently resides in Pierre, South Dakota.
"
America 250th South Dakota Commission,BoardID=11769,Tyler Tordsen,House Representative,Sioux Falls,3/31/2027,"Biography:
Tyler Tordsen is the President & CEO of Sioux Metro Growth Alliance, South Dakota’s largest regional non-profit economic development organization. Before taking his new role with SMGA, Tyler spent eight years serving in the Office of U.S. Senator Mike Rounds as the Southeast Regional Director and State Director of Tribal Affairs. He is a lifelong South Dakotan who was born in Sioux Falls, grew up in Rapid City and is an enrolled member of the Sisseton-Wahpeton Sioux Tribe. He has a Bachelors of Science in political science and economics from the University of South Dakota. 
Tyler was elected to the South Dakota House of Representatives for District 14 and is a member of the House Education and House Judiciary Committees. In October 2023, Tyler was chosen as a “50 Under 50” of up-and-coming state legislators in the nation by the American Legislative Exchange Council.
Tyler, his wife Erika, and their two sons Emmett and Atlas currently live in Sioux Falls.
"
America 250th South Dakota Commission,BoardID=11769,Algin Young,,,3/31/2027,"Biography:
Algin Young serves as Secretary of the South Dakota Department of Tribal Relations.

Algin has a 23-year career serving in law enforcement within Indian Country, with roles including Chief of Police for the Oglala Sioux Tribe, Police Officer, Special Agent (Criminal Investigator), Indian Highway Safety Director, Regional Agent in Charge within the Division of Drug Enforcement, and Associate Director of Field Operations.

Algin also served in the United States Marines. He graduated from the Indian Police Academy in Artesia, NM, and completed the Criminal Investigator Training Course in Glynco, GA.

Algin is a devoted father to his five children and has been married to his wife, Monica, for 24 years."
American Dairy Association of South Dakota,BoardID=26,Riley Boadwine,Producer,Baltic,10/31/2026,
American Dairy Association of South Dakota,BoardID=26,Dorothy Elliott,Producer,Lake Norden,10/31/2025,
American Dairy Association of South Dakota,BoardID=26,Evan Grong,Processor,Milbank,10/30/2026,"Biography:
Valley Queen Cheese"
American Dairy Association of South Dakota,BoardID=26,Kim Maher,Producer,Lake Norden,10/30/2026,"Biography:
Agropur"
American Dairy Association of South Dakota,BoardID=26,Londa Nwadike,Ex Officio,SDSU,,
American Dairy Association of South Dakota,BoardID=26,Douglas Ode,Producer,Brandon,10/30/2027,"Biography:
Not Specified"
Animal Industry Board,BoardID=8,Lynn Boadwine,Dairy Producer,Baltic,10/30/2025,"Biography:
Not Specified"
Animal Industry Board,BoardID=8,Scot Eisenbraun,Cattleman,Wall,10/30/2027,
Animal Industry Board,BoardID=8,Josh Kitzan,Sheep Grower,Nisland,10/30/2027,
Animal Industry Board,BoardID=8,Kevin Larson,Owner-operator Auction,Aberdeen,10/30/2026,
Animal Industry Board,BoardID=8,Brian Nagel,Livestock Feeder,Avon,10/30/2026,
Animal Industry Board,BoardID=8,Steven Rommereim,Pork Producer,Alcester,10/30/2025,"Biography:
Not Specified"
Animal Industry Board,BoardID=8,"Stephanie Stevens, DVM",Veterinarian,Edgemont,10/30/2027,
Animal Industry Board,BoardID=8,Zacky Waldner,Poultry Producer,Frankfort,10/30/2028,
"Appraisal, Board of",BoardID=150,Brock Greenfield,Commissioner of School and Public Lands,Pierre,,
"Appraisal, Board of",BoardID=150,Rich Sattgast,State Auditor,Pierre,,
Arts Council,BoardID=7,Lee Ann Roripaugh,,Vermillion,6/30/2022,
Arts Council,BoardID=7,Mary Bordeaux,,Pine Ridge,6/30/2024,
Arts Council,BoardID=7,Roger Broer,,Hill City,6/30/2024,
Arts Council,BoardID=7,Dohui Kim,Treasurer,Sioux Falls,6/30/2022,
Arts Council,BoardID=7,Joanna Lawler,Chair,Rapid City,6/30/2024,
Arts Council,BoardID=7,John Mogen,Vice Chair,Sioux Falls,6/30/2022,
Arts Council,BoardID=7,Jane Rasmussen,,Sisseton,6/30/2023,
Arts Council,BoardID=7,Cristen Roghair,,Okaton,6/30/2024,
Arts Council,BoardID=7,Josh Spies,,Sioux Falls,6/30/2024,
Arts Council,BoardID=7,Nan Venhuizen,Secretary,Sioux Falls,6/30/2022,
Arts Council,BoardID=7,James Walker,,Bath,6/30/2023,
"Athletic Commission, South Dakota",BoardID=9,Jeremy Fox,Secretary,Bancroft,6/30/2027,
"Athletic Commission, South Dakota",BoardID=9,Chet Kilmer,Commissioner,Spearfish,6/30/2027,
"Athletic Commission, South Dakota",BoardID=9,Kaleb Paulsen,Vice-Chairman,Sioux Falls,6/30/2026,
"Athletic Commission, South Dakota",BoardID=9,Dr. Shaina Riggs,,Brookings,6/30/2026,
"Athletic Commission, South Dakota",BoardID=9,Dr. Verle Valentine,Chairman,Sioux Falls,6/30/2028,
Banking Commission,BoardID=10,Dylan Clarkson,State Bank,Spearfish,10/30/2028,
Banking Commission,BoardID=10,Jeffory Erickson,State Bank,Sioux Falls,10/30/2026,
Banking Commission,BoardID=10,Stephen Hayes,State Bank,Presho,10/30/2027,
Banking Commission,BoardID=10,John Johnson,Public Member,Piedmont,10/30/2026,
Banking Commission,BoardID=10,Kevin Tetzlaff,State Bank,Brookings,10/30/2028,
"Barber Examiners, Board of",BoardID=11,Vacant,,,,
"Barber Examiners, Board of",BoardID=11,Leonard Ivey,Barber,Aberdeen,10/30/2027,
"Barber Examiners, Board of",BoardID=11,Jeffrey Runyan,Lay Member,Pierre,10/30/2027,
"Barber Examiners, Board of",BoardID=11,Kristy Wright,Barber,Redfield,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Pamela Bennett,State Social Services Agency,Pierre,,
Behavioral Health Advisory Council,BoardID=55,Melanie Boetel,State Mental Health Agency,Sioux Falls,,
Behavioral Health Advisory Council,BoardID=55,Kristi Bunkers,State Criminal Justice Agency - DOC,Sioux Falls,,
Behavioral Health Advisory Council,BoardID=55,Rebecca Cain,State Education Agency,Pierre,,
Behavioral Health Advisory Council,BoardID=55,Angie Dammer,Family Member child w/SED wyouth 12 & 18 yo,Sioux Falls,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Melissa L. Dittberner,Family member/caregiver of an adult w/SMI,Volin,10/30/2026,
Behavioral Health Advisory Council,BoardID=55,Wendy Figland,Family member or caregiver of a child with a serious emotional disturbance or substance use disorder or both,Mitchell,10/30/2027,
Behavioral Health Advisory Council,BoardID=55,Samantha Freeze,Adult w/serious mental illness or in recovery,Sioux Falls,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Chuck Frieberg,State Criminal Justice Agency - UJS,Pierre,,
Behavioral Health Advisory Council,BoardID=55,Matt Glanzer,Adult with a serious mental illness or in recovery from a substance use disorder or both,Sioux Falls,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Faith Goehring,Adult with a serious mental illness or in recovery from a substance use disorder or both,Belle Fourche,10/30/2027,
Behavioral Health Advisory Council,BoardID=55,Kara Graveman,Contracted prevention provider,Spearfish,10/30/2027,
Behavioral Health Advisory Council,BoardID=55,Mickayla M. Hanzlik,Adult with serious mental illness receiving services,Sioux Falls,10/30/2026,
Behavioral Health Advisory Council,BoardID=55,Bryan Harberts,Rep. of a psychiatric residential treatment program (Provider),Sioux Falls,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Melissa A. Kaiser,Certified/Licensed substance abuse provider,Yankton,10/30/2027,
Behavioral Health Advisory Council,BoardID=55,Penny Kelley,Family member oof a youth who has received PRTF services,Pierre,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Kattie A Lall,Contract Provider,,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Jason Lillich,Contracted substance use disorder treatment provider,Lemmon,10/30/2027,
Behavioral Health Advisory Council,BoardID=55,Heather Petermann,State Medicaid Agency,Pierre,,
Behavioral Health Advisory Council,BoardID=55,Karen Severns,Health Care Provider,Aberdeen,,
Behavioral Health Advisory Council,BoardID=55,Jon Sommervold,Adult with a serious mental illness or in recovery from a substance use disorder or both,Sioux Falls,10/30/2026,
Behavioral Health Advisory Council,BoardID=55,Roseanne Summerside,Family member or caregiver of an adult with a serious mental illnes or in recovery from a substance use disorder or both,Pierre,10/30/2025,
Behavioral Health Advisory Council,BoardID=55,Joseph Tielke,State Housing Agency,Pierre,,
Behavioral Health Advisory Council,BoardID=55,Dominique Tigert,Family member or caregiver of an adult with a serious mental illnes or in recovery from a substance use disorder or both,Rapid City,10/30/2027,
Behavioral Health Advisory Council,BoardID=55,Eric Weiss,State Vocational Rehabilitation Agency,Pierre,,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Tiffany Butler,President - Licensed Professional - LPC,Lennox,10/30/2025,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Cynthia Goehring,Counselor-LPC,"Columbia, SD",10/30/2027,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Maureen Gustafson,Lay Member,Rapid City,10/30/2027,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Mary Guth,"Licensed Professional LPC-MH, LMFT",Sioux Falls,10/30/2026,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Amy Hartman,Licensed Professional LPC-MH,Sioux Falls,10/30/2026,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Stacy Solsa,"Professional, LPC-MH",Hayti,10/30/2026,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Jay Trenhaile,Licensed Professional - LPC Counselor Educator,Brookings,10/30/2025,
Board of Examiners for Counselors & Marriage and Family Therapists,BoardID=22,Jeff Wangen,Lay Member,Rapid City,10/30/2026,
Brand Board,BoardID=13,Jarrod Johnson,Board Member,Garretson,1/3/2027,
Brand Board,BoardID=13,Jesse Jake Longbrake,Board Member,Dupree,1/3/2027,
Brand Board,BoardID=13,Lyle Spring,Board Vice Pres,Union Center,1/3/2028,
Brand Board,BoardID=13,Haven Stuck,Board Member,Rapid City,1/3/2028,
Brand Board,BoardID=13,Scott Vance,Board President,Faith,1/2/2026,"Biography:
Not Specified"
"Building Authority, South Dakota",BoardID=14,Julie Bartling,Member,Gregory,1/18/2025,"Biography:
Julie Bartling, appointed December 2020, resident of Gregory"
"Building Authority, South Dakota",BoardID=14,James Breckenridge,Member,Sioux Falls,1/17/2026,"Biography:
James Breckenridge, appointed February 2014; resident of Sioux Falls."
"Building Authority, South Dakota",BoardID=14,Tom Graham,Chairman,Sioux Falls,1/17/2028,"Biography:
Thomas W. Graham; appointed January 1988; resident of Sioux Falls."
"Building Authority, South Dakota",BoardID=14,Douglas Hajek,Vice Chairman,Sioux Falls,1/18/2027,"Biography:
Douglas J. Hajek, appointed March 2011, resident of Sioux Falls."
"Building Authority, South Dakota",BoardID=14,Jim Lust,Member,Aberdeen,1/15/2027,"Biography:
Jim Lust, member; appointed January 2019; resident of Aberdeen."
"Building Authority, South Dakota",BoardID=14,Tina Van Camp,Secretary,Fort Pierre,1/17/2028,"Biography:
Tina Van Camp, Secretary; appointed April, 2016; resident of Fort Pierre."
"Building Authority, South Dakota",BoardID=14,Steven Zellmer,Member,Rapid City,1/17/2026,"Biography:
Steve Zellmer; Appointed January 2014; resident of Rapid City."
Capitol Complex Restoration and Beautification Commission,BoardID=15,Carla Bachand,,Pierre,6/30/2027,"Biography:
Not specified."
Capitol Complex Restoration and Beautification Commission,BoardID=15,Tim Engel,,Pierre,6/30/2026,"Biography:
Not specified."
